Lead_I,Lead_II
0.004,0.138
-0.02,0.116
-0.053,0.092
-0.056,0.089
-0.062,0.083
-0.065,0.076
-0.061,0.078
-0.061,0.08
-0.064,0.081
-0.061,0.092
-0.057,0.096
-0.055,0.094
-0.055,0.095
-0.052,0.095
-0.05,0.095
-0.055,0.09
-0.05,0.09
-0.051,0.089
-0.056,0.084
-0.053,0.086
-0.06,0.083
-0.063,0.072
-0.073,0.064
-0.073,0.019
-0.05,-0.032
-0.058,-0.067
-0.058,-0.104
-0.042,-0.105
-0.048,-0.121
-0.067,-0.17
-0.062,-0.189
-0.049,-0.183
-0.056,-0.175
-0.053,-0.17
-0.067,-0.159
-0.067,-0.134
-0.044,-0.129
-0.049,-0.139
-0.045,-0.138
-0.053,-0.149
-0.061,-0.157
-0.039,-0.152
-0.052,-0.151
-0.068,-0.137
-0.058,-0.103
-0.05,-0.083
-0.034,-0.075
-0.042,-0.021
-0.055,0.028
-0.047,0.032
-0.048,0.036
-0.051,0.035
-0.055,0.052
-0.043,0.073
-0.052,0.075
-0.067,0.075
-0.059,0.075
-0.057,0.076
-0.052,0.074
-0.054,0.071
-0.057,0.068
-0.059,0.065
-0.063,0.063
-0.065,0.059
-0.063,0.063
-0.064,0.065
-0.065,0.065
-0.064,0.065
-0.058,0.072
-0.052,0.077
-0.06,0.071
-0.048,0.099
-0.049,0.069
-0.057,-0.002
-0.052,-0.018
-0.058,-0.042
-0.059,-0.047
-0.07,-0.047
-0.062,-0.055
-0.048,-0.053
-0.043,-0.082
-0.017,-0.057
-0.011,-0.039
-0.005,-0.017
-0.011,0.098
-0.005,0.152
0.042,0.201
0.049,0.23
0.027,0.196
0.007,0.178
-0.028,0.14
-0.062,0.137
-0.074,0.118
-0.07,0.126
-0.091,0.11
-0.091,0.109
-0.078,0.108
-0.101,0.065
-0.053,0.112
0.144,0.303
0.526,1.203
0.367,1.247
-0.265,0.202
-0.25,0.107
-0.056,0.202
-0.08,0.147
-0.045,0.173
-0.05,0.139
-0.075,0.167
-0.084,0.151
-0.071,0.173
-0.046,0.188
-0.033,0.218
-0.018,0.231
-0.003,0.228
-0.009,0.231
-0.002,0.215
0.017,0.233
0.048,0.259
0.074,0.285
0.108,0.31
0.138,0.349
0.166,0.404
0.22,0.42
0.253,0.467
0.294,0.534
0.328,0.559
0.352,0.589
0.383,0.622
0.371,0.631
0.313,0.611
0.239,0.545
0.157,0.463
0.099,0.409
0.033,0.351
-0.03,0.292
-0.027,0.265
-0.025,0.265
-0.012,0.268
-0.014,0.27
-0.036,0.275
-0.044,0.273
-0.05,0.291
-0.038,0.306
-0.055,0.316
-0.054,0.341
-0.039,0.34
-0.03,0.352
-0.003,0.365
-0.011,0.365
-0.04,0.359
-0.044,0.336
-0.048,0.325
-0.056,0.321
-0.052,0.317
-0.063,0.303
-0.059,0.296
-0.058,0.295
-0.059,0.282
-0.048,0.285
-0.07,0.275
-0.065,0.258
-0.063,0.256
-0.077,0.254
-0.069,0.255
-0.066,0.255
-0.059,0.255
-0.058,0.251
-0.058,0.246
-0.056,0.241
-0.086,0.237
-0.085,0.233
-0.05,0.228
-0.049,0.218
-0.061,0.197
-0.061,0.174
-0.053,0.155
-0.051,0.148
-0.066,0.125
-0.067,0.106
-0.042,0.105
-0.062,0.079
-0.069,0.059
-0.071,-0.012
-0.098,-0.068
-0.065,-0.029
-0.035,-0.015
-0.041,-0.015
-0.056,-0.015
-0.054,-0.015
-0.045,-0.014
-0.04,-0.018
-0.045,-0.027
-0.049,-0.048
-0.03,-0.043
-0.047,-0.057
-0.054,-0.092
-0.048,-0.095
-0.051,-0.093
-0.05,-0.09
-0.05,-0.086
-0.051,-0.085
-0.046,-0.09
-0.014,-0.097
-0.006,-0.092
-0.014,-0.113
-0.015,-0.141
-0.014,-0.138
-0.017,-0.141
-0.016,-0.143
-0.005,-0.147
-0.004,-0.143
0.016,-0.118
0.04,-0.094
0.042,-0.085
0.064,-0.076
0.124,-0.045
0.125,-0.064
0.09,-0.093
0.099,-0.126
0.091,-0.197
0.068,-0.21
0.036,-0.248
0.024,-0.272
0.032,-0.284
0.013,-0.336
0.011,-0.339
0.002,-0.385
0.013,-0.326
0.134,-0.234
0.502,0.51
0.601,1.007
0.008,0.038
-0.209,-0.356
0.006,-0.195
0.014,-0.254
0.028,-0.189
0.031,-0.214
0.035,-0.183
0.047,-0.182
0.048,-0.171
0.058,-0.158
0.058,-0.157
0.067,-0.136
0.079,-0.119
0.09,-0.091
0.097,-0.068
0.111,-0.03
0.138,0.013
0.183,0.068
0.208,0.104
0.241,0.143
0.276,0.185
0.327,0.241
0.387,0.306
0.413,0.337
0.45,0.378
0.481,0.414
0.507,0.443
0.512,0.462
0.474,0.43
0.377,0.374
0.259,0.302
0.203,0.239
0.144,0.208
0.088,0.173
0.061,0.135
0.039,0.114
0.047,0.114
0.049,0.116
0.053,0.114
0.067,0.115
0.041,0.116
0.025,0.127
0.03,0.141
0.039,0.144
0.075,0.136
0.076,0.128
0.047,0.124
0.043,0.113
0.048,0.11
0.039,0.097
0.038,0.104
0.057,0.138
0.061,0.136
0.056,0.126
0.056,0.122
