Lead_I,Lead_II
-0.041,-0.08
-0.039,-0.076
-0.018,-0.069
-0.013,-0.063
-0.02,-0.055
-0.01,-0.051
-0.034,-0.049
-0.047,-0.052
-0.019,-0.057
-0.03,-0.047
-0.046,-0.034
-0.028,-0.03
-0.019,-0.031
-0.05,-0.027
-0.037,-0.025
-0.022,-0.023
-0.028,-0.031
-0.02,-0.036
-0.054,-0.023
-0.072,-0.019
-0.069,-0.021
-0.072,-0.019
-0.077,-0.021
-0.073,-0.019
-0.068,-0.013
-0.043,0.0
-0.014,0.038
-0.024,0.061
0.007,0.088
0.036,0.113
0.051,0.099
0.048,0.091
0.038,0.08
0.034,0.07
0.0,0.063
-0.039,0.054
-0.065,0.056
-0.059,0.054
-0.068,0.056
-0.07,0.051
-0.083,0.044
-0.09,0.039
-0.1,0.028
-0.108,0.028
-0.115,0.002
0.044,0.115
0.804,0.415
1.038,0.53
0.28,0.287
-0.081,0.015
-0.035,0.041
-0.012,0.13
-0.009,0.103
-0.024,0.109
0.0,0.145
0.001,0.159
0.008,0.168
0.002,0.163
0.006,0.154
0.016,0.181
0.017,0.193
0.035,0.187
0.04,0.193
0.046,0.186
0.077,0.213
0.124,0.254
0.143,0.262
0.155,0.294
0.218,0.336
0.243,0.349
0.236,0.366
0.265,0.391
0.279,0.39
0.231,0.367
0.153,0.338
0.093,0.292
0.031,0.264
0.016,0.258
0.004,0.242
-0.026,0.227
-0.008,0.214
-0.039,0.205
-0.069,0.19
-0.048,0.189
-0.046,0.201
-0.052,0.209
-0.057,0.225
-0.047,0.22
-0.057,0.215
-0.076,0.212
-0.074,0.203
-0.066,0.219
-0.057,0.231
-0.069,0.224
-0.077,0.219
-0.046,0.251
-0.024,0.269
-0.028,0.262
-0.019,0.267
-0.02,0.262
-0.045,0.269
-0.092,0.236
-0.1,0.223
-0.084,0.243
-0.096,0.228
-0.077,0.249
-0.057,0.267
-0.06,0.266
-0.062,0.26
-0.035,0.305
-0.021,0.343
-0.025,0.332
-0.005,0.357
-0.01,0.338
0.005,0.35
0.034,0.36
0.001,0.314
-0.051,0.327
-0.062,0.34
-0.056,0.33
-0.056,0.326
-0.057,0.319
-0.051,0.311
-0.081,0.308
-0.09,0.295
-0.09,0.301
-0.106,0.275
-0.122,0.275
0.315,0.499
1.081,0.757
0.739,0.709
0.002,0.398
-0.054,0.263
-0.038,0.351
-0.006,0.351
-0.019,0.346
-0.043,0.374
-0.028,0.375
-0.046,0.369
-0.025,0.375
-0.016,0.392
-0.016,0.386
-0.009,0.385
-0.009,0.377
0.021,0.401
0.054,0.431
0.051,0.422
0.083,0.451
0.111,0.475
0.123,0.479
0.164,0.517
0.203,0.539
0.227,0.544
0.262,0.572
0.264,0.588
0.234,0.571
0.199,0.554
0.161,0.539
0.112,0.504
0.029,0.456
-0.023,0.403
-0.044,0.378
-0.036,0.402
-0.031,0.403
-0.051,0.384
-0.051,0.384
-0.044,0.391
-0.041,0.394
-0.045,0.389
-0.045,0.391
-0.06,0.387
-0.067,0.384
-0.063,0.386
-0.072,0.378
-0.054,0.396
-0.042,0.407
-0.049,0.396
-0.047,0.396
-0.052,0.389
-0.051,0.386
-0.054,0.381
-0.058,0.374
-0.059,0.371
-0.067,0.362
-0.069,0.361
-0.081,0.349
-0.068,0.361
-0.05,0.389
-0.052,0.397
-0.046,0.394
-0.023,0.41
0.009,0.437
0.011,0.427
0.026,0.457
0.037,0.475
0.03,0.449
0.017,0.435
-0.012,0.41
-0.04,0.387
-0.058,0.371
-0.066,0.366
-0.064,0.363
-0.076,0.356
-0.073,0.354
-0.087,0.347
-0.092,0.345
-0.087,0.343
-0.127,0.3
-0.122,0.27
-0.016,0.358
0.709,0.621
1.081,0.795
0.287,0.575
-0.133,0.319
-0.078,0.291
-0.052,0.328
0.014,0.365
-0.002,0.365
0.005,0.355
-0.004,0.35
-0.006,0.341
0.0,0.34
0.001,0.333
0.044,0.364
0.042,0.357
0.018,0.32
0.041,0.343
0.045,0.337
0.063,0.353
0.108,0.39
0.131,0.381
0.181,0.418
0.25,0.448
0.25,0.446
0.256,0.451
0.276,0.454
0.258,0.452
0.245,0.437
0.181,0.418
0.12,0.37
0.056,0.312
-0.006,0.281
-0.009,0.273
-0.031,0.27
-0.053,0.251
-0.066,0.253
-0.062,0.264
-0.045,0.254
-0.051,0.247
-0.054,0.239
-0.065,0.231
-0.068,0.224
-0.051,0.218
-0.063,0.211
-0.064,0.207
-0.059,0.198
-0.062,0.199
-0.063,0.194
-0.075,0.165
-0.076,0.157
-0.075,0.152
-0.051,0.143
-0.021,0.133
-0.057,0.121
-0.103,0.11
-0.087,0.1
-0.081,0.095
-0.099,0.086
-0.082,0.083
-0.08,0.07
-0.072,0.082
-0.017,0.118
-0.004,0.113
-0.003,0.11
0.014,0.104
-0.003,0.064
-0.026,0.039
-0.053,0.024
-0.053,0.013
-0.06,-0.009
-0.099,-0.055
-0.113,-0.071
-0.111,-0.069
-0.11,-0.078
-0.114,-0.073
-0.099,-0.077
-0.11,-0.08
-0.117,-0.12
-0.074,-0.117
0.463,0.141
1.022,0.36
0.46,0.255
-0.137,-0.037
-0.107,-0.202
-0.058,-0.17
-0.032,-0.164
-0.059,-0.162
-0.043,-0.156
-0.018,-0.154
-0.024,-0.149
-0.007,-0.15
-0.015,-0.151
-0.025,-0.174
-0.013,-0.175
0.004,-0.17
0.024,-0.169
0.044,-0.165
0.047,-0.163
0.07,-0.156
0.099,-0.146
0.114,-0.14
0.144,-0.138
0.184,-0.11
0.22,-0.09
0.228,-0.07
0.236,-0.058
0.201,-0.1
0.147,-0.123
0.098,-0.151
0.022,-0.22
-0.017,-0.261
-0.034,-0.264
-0.043,-0.287
-0.07,-0.322
-0.078,-0.326
-0.08,-0.324
-0.087,-0.337
-0.056,-0.345
-0.065,-0.344
-0.083,-0.35
-0.073,-0.347
-0.081,-0.368
-0.086,-0.394
-0.084,-0.388
-0.082,-0.391
-0.077,-0.388
-0.092,-0.392
-0.087,-0.383
-0.066,-0.379
-0.062,-0.41
-0.066,-0.423
-0.069,-0.422
-0.07,-0.42
-0.07,-0.42
-0.068,-0.419
-0.086,-0.443
-0.083,-0.449
-0.078,-0.435
-0.064,-0.454
-0.072,-0.425
-0.079,-0.399
-0.037,-0.401
-0.031,-0.393
0.003,-0.391
0.025,-0.383
0.007,-0.405
-0.011,-0.437
-0.055,-0.467
-0.079,-0.493
-0.082,-0.496
-0.068,-0.493
-0.071,-0.499
-0.078,-0.504
-0.091,-0.496
-0.069,-0.487
-0.083,-0.478
-0.114,-0.55
-0.122,-0.573
0.207,-0.357
0.965,-0.096
0.789,-0.096
0.062,-0.41
-0.073,-0.623
-0.059,-0.542
-0.035,-0.494
-0.035,-0.493
-0.043,-0.496
-0.04,-0.521
-0.011,-0.496
-0.001,-0.51
-0.011,-0.505
0.004,-0.499
-0.035,-0.534
-0.031,-0.529
0.002,-0.523
0.057,-0.49
0.082,-0.466
0.08,-0.471
0.105,-0.45
0.108,-0.449
0.144,-0.43
0.187,-0.384
0.216,-0.364
0.244,-0.343
0.245,-0.333
0.247,-0.33
0.223,-0.343
0.151,-0.397
0.065,-0.455
0.008,-0.495
-0.017,-0.509
-0.038,-0.542
-0.047,-0.567
-0.036,-0.538
-0.049,-0.556
-0.072,-0.584
-0.069,-0.582
-0.071,-0.583
-0.071,-0.576
-0.067,-0.577
-0.077,-0.567
-0.086,-0.583
-0.079,-0.612
-0.08,-0.597
-0.082,-0.589
-0.091,-0.591
-0.099,-0.589
-0.076,-0.59
-0.065,-0.59
-0.066,-0.583
-0.082,-0.596
-0.098,-0.606
-0.104,-0.605
-0.099,-0.602
-0.081,-0.599
-0.09,-0.6
-0.097,-0.595
-0.071,-0.616
-0.059,-0.617
-0.062,-0.601
-0.036,-0.571
-0.016,-0.523
-0.016,-0.504
-0.002,-0.482
0.013,-0.501
0.013,-0.528
0.018,-0.531
0.016,-0.56
-0.032,-0.572
-0.061,-0.57
-0.073,-0.583
-0.095,-0.586
-0.095,-0.578
-0.078,-0.57
-0.081,-0.559
-0.09,-0.611
-0.109,-0.643
-0.153,-0.627
-0.147,-0.645
-0.015,-0.53
0.682,-0.263
1.061,-0.117
0.338,-0.342
-0.086,-0.649
-0.051,-0.653
-0.048,-0.575
-0.026,-0.559
-0.056,-0.564
-0.028,-0.569
-0.016,-0.555
-0.026,-0.561
-0.058,-0.57
-0.033,-0.566
-0.012,-0.559
-0.002,-0.533
0.025,-0.515
0.028,-0.518
0.087,-0.5
0.085,-0.49
0.081,-0.478
0.118,-0.463
0.141,-0.438
0.184,-0.394
0.224,-0.374
0.253,-0.337
0.235,-0.326
0.226,-0.341
0.234,-0.329
0.182,-0.354
0.109,-0.432
0.066,-0.466
0.011,-0.482
-0.04,-0.517
0.003,-0.509
0.002,-0.53
-0.067,-0.559
-0.081,-0.553
-0.098,-0.556
-0.086,-0.554
-0.049,-0.556
-0.059,-0.55
-0.063,-0.549
-0.044,-0.543
-0.058,-0.544
-0.047,-0.533
-0.024,-0.521
-0.072,-0.553
-0.073,-0.546
-0.069,-0.542
-0.08,-0.543
-0.076,-0.555
-0.07,-0.559
-0.053,-0.533
-0.074,-0.547
-0.073,-0.543
-0.087,-0.539
-0.07,-0.538
-0.054,-0.543
-0.081,-0.554
-0.058,-0.54
-0.04,-0.527
-0.046,-0.529
-0.046,-0.516
-0.033,-0.479
-0.025,-0.47
-0.02,-0.465
-0.023,-0.464
0.003,-0.465
0.015,-0.465
0.007,-0.464
-0.007,-0.469
-0.062,-0.511
-0.093,-0.526
-0.094,-0.526
-0.084,-0.531
-0.094,-0.531
-0.098,-0.538
-0.095,-0.521
-0.064,-0.502
-0.059,-0.488
-0.079,-0.519
-0.089,-0.517
0.239,-0.349
1.002,-0.089
0.821,-0.068
0.037,-0.403
-0.073,-0.566
-0.035,-0.481
-0.038,-0.452
-0.033,-0.442
-0.033,-0.432
-0.022,-0.43
-0.034,-0.428
-0.021,-0.425
-0.029,-0.423
-0.015,-0.43
-0.016,-0.419
-0.004,-0.396
0.025,-0.379
0.038,-0.37
0.07,-0.36
0.07,-0.349
0.077,-0.333
0.136,-0.31
0.197,-0.266
0.233,-0.225
0.248,-0.212
0.26,-0.208
0.278,-0.182
0.269,-0.156
0.209,-0.186
0.138,-0.229
0.073,-0.275
0.038,-0.305
0.004,-0.342
-0.034,-0.375
-0.043,-0.365
-0.056,-0.365
-0.05,-0.356
-0.055,-0.359
-0.076,-0.375
-0.072,-0.37
-0.077,-0.367
-0.077,-0.37
-0.068,-0.354
-0.066,-0.363
-0.077,-0.395
-0.087,-0.363
-0.087,-0.347
-0.089,-0.352
-0.068,-0.346
-0.049,-0.345
-0.061,-0.344
-0.059,-0.343
-0.05,-0.327
-0.065,-0.339
-0.074,-0.34
-0.075,-0.351
-0.053,-0.353
-0.049,-0.324
-0.08,-0.323
-0.067,-0.312
-0.059,-0.306
-0.048,-0.287
-0.033,-0.265
-0.039,-0.265
-0.028,-0.259
-0.012,-0.248
0.002,-0.249
0.005,-0.26
0.003,-0.251
-0.003,-0.249
-0.038,-0.272
-0.091,-0.314
-0.106,-0.319
-0.085,-0.302
-0.081,-0.29
-0.09,-0.301
-0.098,-0.321
-0.068,-0.303
-0.085,-0.296
-0.11,-0.32
-0.143,-0.35
0.126,-0.202
0.932,0.102
0.841,0.163
0.013,-0.109
-0.131,-0.334
-0.074,-0.322
-0.055,-0.265
-0.04,-0.261
-0.081,-0.282
-0.064,-0.276
-0.066,-0.266
-0.05,-0.259
-0.043,-0.246
-0.028,-0.237
-0.01,-0.222
0.001,-0.212
0.049,-0.169
0.061,-0.157
0.043,-0.18
0.07,-0.155
0.109,-0.123
0.124,-0.106
0.149,-0.097
0.178,-0.07
0.206,-0.021
0.272,0.023
0.269,0.027
0.233,-0.002
0.19,-0.036
0.1,-0.067
0.073,-0.07
0.039,-0.097
-0.033,-0.157
-0.052,-0.168
-0.058,-0.166
-0.057,-0.16
-0.064,-0.162
-0.091,-0.182
-0.081,-0.167
-0.081,-0.181
-0.09,-0.19
-0.088,-0.177
-0.097,-0.179
-0.098,-0.172
-0.1,-0.171
-0.101,-0.165
-0.1,-0.163
-0.1,-0.154
-0.079,-0.146
-0.067,-0.139
-0.07,-0.129
-0.095,-0.147
-0.117,-0.149
-0.083,-0.136
-0.058,-0.121
-0.068,-0.118
-0.097,-0.144
-0.108,-0.145
-0.106,-0.138
-0.117,-0.139
-0.092,-0.131
-0.06,-0.104
-0.056,-0.059
-0.038,-0.021
-0.011,0.007
-0.003,0.001
-0.007,-0.018
-0.009,-0.037
-0.038,-0.082
-0.082,-0.074
-0.119,-0.076
-0.111,-0.113
-0.09,-0.099
-0.117,-0.083
-0.112,-0.08
-0.111,-0.069
-0.121,-0.082
-0.148,-0.11
-0.155,-0.103
-0.158,-0.114
0.14,0.034
0.904,0.342
0.799,0.39
0.016,0.093
-0.137,-0.109
-0.088,-0.057
-0.082,-0.019
-0.067,-0.017
-0.092,-0.025
-0.087,-0.03
-0.09,-0.019
-0.075,-0.018
-0.063,-0.009
-0.049,-0.007
-0.039,0.002
-0.025,0.007
-0.006,0.033
-0.013,0.046
0.022,0.039
0.093,0.079
0.122,0.103
0.124,0.114
0.134,0.148
0.185,0.157
0.222,0.172
0.257,0.221
0.261,0.23
0.225,0.211
0.194,0.195
0.115,0.165
0.044,0.136
-0.004,0.113
-0.034,0.105
-0.048,0.1
-0.066,0.089
-0.081,0.071
-0.084,0.061
-0.074,0.067
-0.067,0.063
-0.062,0.067
-0.06,0.055
-0.083,0.057
-0.091,0.086
-0.073,0.07
-0.088,0.054
-0.099,0.051
-0.083,0.056
-0.078,0.059
-0.074,0.055
-0.082,0.043
-0.085,0.059
-0.078,0.092
-0.107,0.062
-0.105,0.059
-0.085,0.077
-0.092,0.069
-0.09,0.065
-0.105,0.063
-0.134,0.053
-0.121,0.063
-0.084,0.104
-0.071,0.12
-0.083,0.11
-0.077,0.121
-0.066,0.133
-0.063,0.13
-0.022,0.163
0.0,0.179
-0.001,0.168
-0.002,0.164
-0.028,0.142
-0.047,0.129
-0.08,0.122
-0.109,0.111
-0.106,0.104
-0.096,0.094
-0.094,0.094
-0.126,0.085
-0.114,0.084
-0.115,0.096
-0.164,0.078
-0.148,0.045
-0.045,0.13
0.663,0.414
1.037,0.549
0.292,0.333
-0.084,0.089
-0.063,0.08
-0.079,0.154
-0.04,0.151
-0.047,0.155
-0.022,0.162
-0.074,0.146
-0.032,0.161
-0.002,0.18
-0.046,0.171
-0.016,0.178
-0.017,0.172
-0.016,0.177
0.021,0.218
0.058,0.245
0.062,0.242
0.061,0.235
0.123,0.285
0.143,0.313
0.165,0.342
0.23,0.375
0.25,0.363
0.242,0.382
0.248,0.423
0.225,0.407
0.151,0.35
0.085,0.336
0.01,0.289
-0.014,0.243
-0.023,0.243
-0.048,0.229
-0.046,0.222
-0.047,0.217
-0.042,0.219
-0.03,0.221
-0.047,0.219
-0.067,0.22
-0.058,0.22
-0.079,0.215
-0.093,0.21
-0.093,0.204
-0.096,0.201
-0.102,0.191
-0.103,0.194
-0.089,0.222
-0.111,0.2
-0.125,0.174
-0.107,0.188
-0.07,0.212
-0.08,0.212
-0.12,0.203
-0.125,0.201
-0.122,0.192
-0.116,0.194
-0.101,0.193
-0.099,0.211
-0.11,0.233
-0.092,0.229
-0.075,0.229
-0.053,0.232
-0.062,0.226
-0.079,0.243
-0.058,0.256
-0.047,0.263
-0.002,0.304
0.011,0.312
-0.002,0.291
0.001,0.257
-0.019,0.222
-0.038,0.246
-0.082,0.251
-0.113,0.226
-0.106,0.208
-0.125,0.19
-0.119,0.196
-0.124,0.195
-0.139,0.187
-0.139,0.179
-0.148,0.175
-0.125,0.16
-0.031,0.242
0.666,0.504
1.073,0.678
0.322,0.472
-0.113,0.155
-0.072,0.151
-0.07,0.235
-0.008,0.253
-0.056,0.267
-0.063,0.257
-0.048,0.261
-0.071,0.249
-0.057,0.263
-0.047,0.293
-0.045,0.294
-0.033,0.304
-0.005,0.327
0.019,0.34
0.035,0.341
0.044,0.339
0.056,0.34
0.085,0.36
0.11,0.374
0.16,0.398
0.187,0.427
0.197,0.443
0.225,0.47
0.233,0.476
0.219,0.469
0.169,0.446
0.1,0.395
0.025,0.365
-0.025,0.334
-0.049,0.301
-0.047,0.299
-0.033,0.301
-0.057,0.304
-0.073,0.306
-0.068,0.3
-0.071,0.296
-0.068,0.291
-0.072,0.287
-0.067,0.283
-0.079,0.276
-0.104,0.273
-0.102,0.253
-0.092,0.283
-0.081,0.307
-0.115,0.258
-0.113,0.275
-0.079,0.304
-0.09,0.293
-0.088,0.281
-0.101,0.275
-0.149,0.262
-0.149,0.26
-0.118,0.288
-0.123,0.264
-0.112,0.274
-0.103,0.29
-0.091,0.28
-0.105,0.282
-0.132,0.278
-0.092,0.314
-0.064,0.337
-0.047,0.35
-0.033,0.357
-0.024,0.341
-0.017,0.337
-0.018,0.324
-0.025,0.321
-0.087,0.307
-0.139,0.272
-0.121,0.279
-0.121,0.288
-0.12,0.281
-0.117,0.294
-0.122,0.286
-0.088,0.265
-0.155,0.284
-0.158,0.234
-0.121,0.222
0.358,0.491
1.043,0.737
0.515,0.646
-0.121,0.367
-0.082,0.242
-0.111,0.286
-0.072,0.315
-0.055,0.333
-0.06,0.328
-0.051,0.331
-0.058,0.329
-0.053,0.338
-0.044,0.367
-0.035,0.358
-0.013,0.355
-0.022,0.348
-0.05,0.345
0.005,0.357
0.006,0.353
0.031,0.383
0.058,0.394
0.06,0.395
0.103,0.433
0.132,0.472
0.157,0.496
0.157,0.498
0.194,0.532
0.191,0.533
0.148,0.491
0.084,0.457
0.005,0.418
-0.03,0.391
-0.077,0.362
-0.095,0.349
-0.1,0.347
-0.108,0.343
-0.113,0.339
-0.12,0.335
-0.117,0.333
-0.124,0.325
-0.103,0.343
-0.089,0.352
-0.095,0.344
-0.096,0.345
-0.111,0.339
-0.112,0.342
-0.097,0.354
-0.098,0.351
-0.1,0.343
-0.103,0.341
-0.106,0.329
-0.111,0.342
-0.125,0.371
-0.124,0.37
-0.127,0.369
-0.123,0.371
-0.128,0.368
-0.117,0.373
-0.097,0.378
