Lead_I,Lead_II
-0.036,-0.184
-0.017,-0.185
-0.015,-0.185
-0.011,-0.181
-0.01,-0.181
-0.01,-0.178
-0.01,-0.186
-0.001,-0.195
-0.006,-0.205
-0.024,-0.221
-0.028,-0.219
-0.035,-0.22
-0.036,-0.217
-0.04,-0.213
-0.045,-0.217
-0.034,-0.19
-0.028,-0.152
-0.036,-0.119
-0.049,-0.103
-0.017,-0.086
0.03,-0.045
0.028,-0.041
-0.009,-0.073
-0.029,-0.108
-0.042,-0.163
-0.065,-0.183
-0.066,-0.186
-0.064,-0.185
-0.071,-0.188
-0.069,-0.194
-0.059,-0.182
-0.049,-0.194
-0.06,-0.158
-0.101,-0.214
-0.123,-0.161
0.105,0.159
0.55,0.733
0.427,1.117
-0.129,0.659
-0.306,0.204
-0.17,0.086
-0.026,-0.008
-0.001,-0.056
0.004,-0.099
0.026,-0.08
0.038,-0.082
0.047,-0.076
0.043,-0.07
0.05,-0.068
0.055,-0.053
0.068,-0.044
0.084,-0.029
0.098,-0.019
0.114,-0.006
0.127,0.005
0.145,0.019
0.16,0.038
0.176,0.057
0.214,0.063
0.249,0.059
0.287,0.081
0.33,0.111
0.349,0.119
0.315,0.115
0.258,0.103
0.206,0.098
0.149,0.064
0.107,0.024
0.063,0.013
0.029,-0.002
0.02,-0.018
0.005,-0.034
0.0,-0.045
-0.013,-0.057
-0.03,-0.067
-0.028,-0.061
-0.032,-0.057
-0.018,-0.053
-0.011,-0.047
-0.026,-0.044
-0.013,-0.035
-0.008,-0.027
-0.021,-0.024
-0.033,-0.027
-0.038,-0.028
-0.032,-0.035
-0.037,-0.046
-0.015,-0.04
0.001,-0.036
-0.031,-0.031
-0.071,-0.027
-0.085,-0.022
-0.073,-0.013
-0.07,-0.001
-0.048,0.006
-0.029,0.033
-0.059,0.078
-0.066,0.076
-0.038,0.089
-0.037,0.117
-0.04,0.095
-0.04,0.047
-0.047,0.008
-0.062,-0.027
-0.078,-0.053
-0.102,-0.078
-0.124,-0.1
-0.118,-0.091
-0.119,-0.088
-0.128,-0.075
-0.103,-0.078
-0.11,-0.07
-0.138,-0.125
-0.139,-0.105
0.016,0.169
0.461,0.735
0.461,1.183
-0.1,0.752
-0.35,0.215
-0.244,0.1
-0.109,0.018
-0.087,-0.015
-0.094,-0.044
-0.081,-0.033
-0.073,-0.02
-0.056,-0.016
-0.049,0.001
-0.036,0.005
-0.038,0.02
-0.022,0.039
0.001,0.051
0.014,0.058
0.028,0.059
0.044,0.078
0.061,0.096
0.076,0.11
0.101,0.134
0.147,0.139
0.192,0.151
0.215,0.175
0.239,0.196
0.278,0.215
0.279,0.224
0.223,0.213
0.164,0.192
0.1,0.167
0.035,0.122
-0.011,0.073
-0.032,0.053
-0.058,0.046
-0.081,0.035
-0.08,0.036
-0.08,0.034
-0.086,0.031
-0.084,0.029
-0.088,0.033
-0.102,0.038
-0.106,0.054
-0.119,0.065
-0.114,0.071
-0.097,0.1
-0.086,0.108
-0.093,0.101
-0.097,0.1
-0.078,0.096
-0.08,0.091
-0.073,0.091
-0.057,0.102
-0.056,0.096
-0.066,0.089
-0.084,0.083
-0.089,0.076
-0.089,0.074
-0.089,0.071
-0.092,0.069
-0.093,0.064
-0.088,0.067
-0.086,0.069
-0.067,0.089
-0.053,0.126
-0.073,0.132
-0.053,0.153
-0.012,0.183
-0.009,0.178
-0.013,0.166
-0.027,0.13
-0.052,0.064
-0.08,0.018
-0.101,-0.004
-0.09,-0.007
-0.077,0.007
-0.071,-0.006
-0.091,0.0
-0.118,-0.025
-0.103,-0.014
-0.134,-0.044
-0.141,-0.076
-0.018,0.125
0.394,0.59
0.598,1.164
0.058,0.883
-0.325,0.258
-0.228,0.169
-0.081,0.115
-0.007,0.084
-0.025,0.049
-0.022,0.029
-0.025,0.038
-0.025,0.024
-0.023,0.031
-0.028,0.021
-0.022,0.036
-0.032,0.048
-0.023,0.074
0.008,0.097
0.02,0.103
0.021,0.131
0.047,0.15
0.083,0.159
0.106,0.173
0.141,0.189
0.188,0.215
0.231,0.234
0.265,0.246
0.283,0.242
0.288,0.228
0.267,0.218
0.216,0.192
0.16,0.143
0.095,0.086
0.029,0.044
-0.018,0.017
-0.044,0.002
-0.065,-0.016
-0.084,-0.05
-0.075,-0.065
-0.055,-0.069
-0.049,-0.077
-0.054,-0.075
-0.065,-0.075
-0.075,-0.075
-0.076,-0.075
-0.065,-0.076
